area;year;stickleback
Kolka;1986;1.6232492903979
Kolka;1987;2.06924511710518
Kolka;1988;1.78532983501077
Kolka;1989;1.76529592969806
Kolka;1990;2.54613120491405
Kolka;1991;2.32097667734282
Kolka;1992;1.72804145228328
Kolka;1993;2.01283722470517
Kolka;1994;1.6232492903979
Kolka;1995;2.06159432121181
Kolka;1996;2.54869644853235
Kolka;1997;1.596581533068
Kolka;1998;1.22401481137286
Kolka;1999;1.01703333929878
Kolka;2000;1.60422605308447
Kolka;2001;0.556302500767287
Kolka;2002;0.502675359192051
Kolka;2003;1.50650503240487
Kolka;2004;1.61804809671209
Kolka;2005;0.89209460269048
Kolka;2006;1.47182491490971
Kolka;2007;1.71180722904119
Kolka;2008;0.803705354856032
Kolka;2009;0.414973347970818
Kolka;2010;0.301029995663981
Kolka;2011;1.19033169817029
Kolka;2012;0.591064607026499
Kolka;2013;0.963787827345555
Kolka;2014;0.940878547881343
Kolka;2015;1.3384564936046
Kolka;2016;0.987991092526985
Kolka;2017;0.770852011642144
Kolka;2018;0.869231719730976
Kolka;2019;0.380211241711606
Kolka;2020;0.57978359661681
Pape;1998;0.597695185925512
Pape;1999;0.176091259055681
Pape;2000;0.204119982655925
Pape;2001;0
Pape;2002;0.146128035678238
Pape;2003;0.0543576623225927
Pape;2004;0.332438459915605
Pape;2005;0.237360915794604
Pape;2006;0.666177490939711
Pape;2007;0.559308010907013
Pape;2008;0.0579919469776867
Pape;2009;0.0791812460476248
Pape;2010;0
Pape;2011;0
Pape;2012;0
Pape;2013;0.0511525224473813
Pape;2014;0.146128035678238
Pape;2015;0.388180171382881
Pape;2016;0.0606978403536116
Pape;2017;0.161368002234975
Pape;2018;0.204119982655925
Pape;2019;0.217483944213906
Pape;2020;0.0969100130080564
